request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Installments of 3 payments totaling 66649.44 starting 2026-04-03 complete the request safely within the permitted duration. The projected minimum balance is 60329.96.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Full payment of 1059.3 is safe on 2024-09-05 while preserving the required minimum balance. The projected minimum balance is 1480.11.
request_248,752.07,not_affordable,not_recommended,none,,none,"No safe option completes the 1965.6 request within the forecast horizon. The amount safe to pay today is 752.07, which cannot be completed safely with any available payment plan."
request_249,210.68,not_affordable,not_recommended,none,,none,"No safe option completes the 643.2 request within the forecast horizon. The amount safe to pay today is 210.68, which cannot be completed safely with any available payment plan."
request_250,18123.08,not_affordable,not_recommended,none,,none,"No safe option completes the 124278 request within the forecast horizon. The amount safe to pay today is 18123.08, which cannot be completed safely with any available payment plan."
request_251,579.25,not_affordable,not_recommended,none,,none,"No safe option completes the 1513.6 request within the forecast horizon. The amount safe to pay today is 579.25, which cannot be completed safely with any available payment plan."
request_252,6092159.63,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,"Wait until 2026-08-15 to make the full payment of 28082000, preserving the required minimum balance. The projected minimum balance is 21244359.63."
request_253,1988.99,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-03-15,none,Installments of 3 payments totaling 2953.8 starting 2024-03-21 complete the request safely within the permitted duration. The projected minimum balance is 3786.39.
request_254,714.43,affordable_later,wait,2025-09-15:3535.20,2025-09-15,none,"Wait until 2025-09-15 to make the full payment of 3535.2, preserving the required minimum balance. The projected minimum balance is 3204.89."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Full payment of 3345000 is safe on 2026-04-06 while preserving the required minimum balance. The projected minimum balance is 13929065.47.
request_256,0,not_affordable,not_recommended,none,,none,"No safe option completes the 218700 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_257,728.52,affordable_later,wait,2025-11-15:1352.40,2025-11-15,none,"Wait until 2025-11-15 to make the full payment of 1352.4, preserving the required minimum balance. The projected minimum balance is 1852.37."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Full payment of 1113.6 is safe on 2026-01-07 while preserving the required minimum balance. The projected minimum balance is 1297.47.
request_259,295.4,affordable_later,wait,2024-10-15:935,2024-10-15,none,"Wait until 2024-10-15 to make the full payment of 935, preserving the required minimum balance. The projected minimum balance is 801.72."
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Full payment of 15656000 is safe on 2025-08-03 while preserving the required minimum balance. The projected minimum balance is 35997364.44.
request_260,9786395.51,affordable_with_plan,partial_payment,2025-02-06:9786395.51|2025-04-15:42292604.49,2025-04-15,none,"A partial payment of 9786395.51 is safe now, with the remainder of 42292604.49 scheduled for 2025-04-15. The projected minimum balance is 20727700."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Full payment of 1830.4 is safe on 2026-07-03 while preserving the required minimum balance. The projected minimum balance is 2055.84.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Full payment of 9236000 is safe on 2024-12-05 while preserving the required minimum balance. The projected minimum balance is 61517763.69.
request_263,10662.25,not_affordable,not_recommended,none,,none,"No safe option completes the 51546 request within the forecast horizon. The amount safe to pay today is 10662.25, which cannot be completed safely with any available payment plan."
request_264,27547.12,affordable_later,wait,2026-05-15:111300,2026-05-15,none,"Wait until 2026-05-15 to make the full payment of 111300, preserving the required minimum balance. The projected minimum balance is 70096.48."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Full payment of 45970 is safe on 2024-03-06 while preserving the required minimum balance. The projected minimum balance is 223124.46.
request_266,825.99,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-15,none,Installments of 3 payments totaling 972.39 starting 2025-08-03 complete the request safely within the permitted duration. The projected minimum balance is 1235.44.
request_267,1862.99,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,Installments of 3 payments totaling 2001.99 starting 2026-01-08 complete the request safely within the permitted duration. The projected minimum balance is 2614.05.
request_268,1148.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Installments of 3 payments totaling 2523.66 starting 2024-06-14 complete the request safely within the permitted duration. The projected minimum balance is 1707.3.
request_269,0,not_affordable,not_recommended,none,,none,"No safe option completes the 15490 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Full payment of 6670 is safe on 2026-07-05 while preserving the required minimum balance. The projected minimum balance is 35121.72.
request_270,255.68,not_affordable,not_recommended,none,2026-08-20,none,No safe option completes the 3028.8 request by the desired date. The amount safe to pay today is 255.68.
request_271,26850.84,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Wait until 2024-11-15 to make the full payment of 91300, preserving the required minimum balance. The projected minimum balance is 85050.84."
request_272,6128654.63,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,Installments of 3 payments totaling 14128400.01 starting 2025-02-12 complete the request safely within the permitted duration. The projected minimum balance is 8927787.96.
request_273,11009020.37,affordable_with_plan,partial_payment,2026-04-07:11009020.37|2026-04-15:4851979.63,2026-04-15,none,"A partial payment of 11009020.37 is safe now, with the remainder of 4851979.63 scheduled for 2026-04-15. The projected minimum balance is 18774600."
request_274,2494.05,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,Installments of 3 payments totaling 2822.25 starting 2024-12-04 complete the request safely within the permitted duration. The projected minimum balance is 3353.3.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Full payment of 15884000 is safe on 2025-05-06 while preserving the required minimum balance. The projected minimum balance is 15315082.81.
request_28,378.81,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Wait until 2024-08-15 to make the full payment of 1302.4, preserving the required minimum balance. The projected minimum balance is 1478.81."
request_29,29054.09,not_affordable,not_recommended,none,,none,"No safe option completes the 51524 request within the forecast horizon. The amount safe to pay today is 29054.09, which cannot be completed safely with any available payment plan."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Installments of 3 payments totaling 806.22 starting 2026-04-06 complete the request safely within the permitted duration. The projected minimum balance is 997.99.
request_31,3980188.14,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,"Wait until 2024-10-15 to make the full payment of 18164000, preserving the required minimum balance. The projected minimum balance is 17753614.12."
request_32,0,not_affordable,not_recommended,none,,none,"No safe option completes the 40018 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_33,48518.74,affordable_later,wait,2026-02-15:118000,2026-02-15,none,"Wait until 2026-02-15 to make the full payment of 118000, preserving the required minimum balance. The projected minimum balance is 150618.74."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Full payment of 129400 is safe on 2024-12-04 while preserving the required minimum balance. The projected minimum balance is 155500.6.
request_35,44681.66,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 2026-01-15 to make the full payment of 212000, preserving the required minimum balance. The projected minimum balance is 151081.66."
request_36,0,not_affordable,not_recommended,none,,none,"No safe option completes the 3954 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_37,6283828.64,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Wait until 2024-05-15 to make the full payment of 14649000, preserving the required minimum balance. The projected minimum balance is 23340028.64."
request_38,213.3,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,"Wait until 2025-09-15 to make the full payment of 971.3, preserving the required minimum balance. The projected minimum balance is 613.3."
request_39,78466.95,affordable_later,wait,2026-05-15:208600,2026-05-15,none,"Wait until 2026-05-15 to make the full payment of 208600, preserving the required minimum balance. The projected minimum balance is 291866.95."
request_40,0,not_affordable,not_recommended,none,,none,"No safe option completes the 1290.3 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_41,14761451.87,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,"Wait until 2025-12-15 to make the full payment of 38760000, preserving the required minimum balance. The projected minimum balance is 40128051.87."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Full payment of 52100 is safe on 2026-01-05 while preserving the required minimum balance. The projected minimum balance is 179415.33.
request_43,8647526.67,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Wait until 2024-11-15 to make the full payment of 43339000, preserving the required minimum balance. The projected minimum balance is 30045526.67."
request_44,0,not_affordable,not_recommended,none,,none,"No safe option completes the 95800 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_45,0,not_affordable,not_recommended,none,,none,"No safe option completes the 21983000 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_46,47395.71,affordable_with_plan,partial_payment,2024-12-03:47395.71|2024-12-15:2054.29,2024-12-15,none,"A partial payment of 47395.71 is safe now, with the remainder of 2054.29 scheduled for 2024-12-15. The projected minimum balance is 84000."
request_47,16819692.83,not_affordable,not_recommended,none,,none,"No safe option completes the 38114000 request within the forecast horizon. The amount safe to pay today is 16819692.83, which cannot be completed safely with any available payment plan."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Full payment of 45700 is safe on 2026-07-25 while preserving the required minimum balance. The projected minimum balance is 96270.44.
request_49,14336932.32,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,Installments of 3 payments totaling 35706320.01 starting 2024-03-18 complete the request safely within the permitted duration. The projected minimum balance is 30789228.93.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Full payment of 43900 is safe on 2025-08-06 while preserving the required minimum balance. The projected minimum balance is 167144.23.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Full payment of 2191000 is safe on 2026-01-03 while preserving the required minimum balance. The projected minimum balance is 12311841.74.
request_52,22367.86,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 2024-06-15 to make the full payment of 28870, preserving the required minimum balance. The projected minimum balance is 63867.86."
request_53,647.19,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,Installments of 3 payments totaling 1767.18 starting 2025-11-21 complete the request safely within the permitted duration. The projected minimum balance is 2747.19.
request_54,0,not_affordable,not_recommended,none,,none,"No safe option completes the 121528 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_55,125603.53,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,Installments of 3 payments totaling 227343.99 starting 2026-06-11 complete the request safely within the permitted duration. The projected minimum balance is 174122.2.
request_56,777.1,affordable_with_plan,partial_payment,2025-02-03:777.10|2025-02-15:104.46,2025-02-15,none,"A partial payment of 777.1 is safe now, with the remainder of 104.46 scheduled for 2025-02-15. The projected minimum balance is 2100."
request_57,14367.68,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Wait until 2026-05-15 to make the full payment of 61446, preserving the required minimum balance. The projected minimum balance is 43148.28."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Full payment of 16226000 is safe on 2024-12-07 while preserving the required minimum balance. The projected minimum balance is 21274205.92.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Installments of 3 payments totaling 146223.99 starting 2025-05-07 complete the request safely within the permitted duration. The projected minimum balance is 213936.9.
request_60,173.72,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,"Wait until 2026-01-15 to make the full payment of 199.89, preserving the required minimum balance. The projected minimum balance is 401.95."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Installments of 3 payments totaling 30224.49 starting 2024-03-17 complete the request safely within the permitted duration. The projected minimum balance is 63240.57.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Full payment of 404.23 is safe on 2025-08-05 while preserving the required minimum balance. The projected minimum balance is 3869.31.
request_63,69282.03,affordable_with_plan,partial_payment,2026-07-07:69282.03|2026-09-15:274617.97,2026-09-15,none,"A partial payment of 69282.03 is safe now, with the remainder of 274617.97 scheduled for 2026-09-15. The projected minimum balance is 153500."
request_64,0,not_affordable,not_recommended,none,,none,"No safe option completes the 63700 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_65,7114.42,not_affordable,not_recommended,none,,none,"No safe option completes the 54340 request within the forecast horizon. The amount safe to pay today is 7114.42, which cannot be completed safely with any available payment plan."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Full payment of 22200 is safe on 2026-04-03 while preserving the required minimum balance. The projected minimum balance is 230671.49.
request_67,474.24,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Wait until 2024-11-15 to make the full payment of 2094, preserving the required minimum balance. The projected minimum balance is 1674.24."
request_68,0,not_affordable,not_recommended,none,,none,"No safe option completes the 2091.6 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Full payment of 529.1 is safe on 2026-01-04 while preserving the required minimum balance. The projected minimum balance is 848.35.
request_70,61892.21,affordable_later,wait,2025-01-15:243900,2025-01-15,none,"Wait until 2025-01-15 to make the full payment of 243900, preserving the required minimum balance. The projected minimum balance is 124046.76."
request_71,2510054.78,not_affordable,not_recommended,none,,none,"No safe option completes the 21451000 request within the forecast horizon. The amount safe to pay today is 2510054.78, which cannot be completed safely with any available payment plan."
request_72,0,not_affordable,not_recommended,none,,none,"No safe option completes the 11330 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Full payment of 71400 is safe on 2023-01-20 while preserving the required minimum balance. The projected minimum balance is 121023.53.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Full payment of 5010 is safe on 2025-08-04 while preserving the required minimum balance. The projected minimum balance is 35765.08.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Installments of 3 payments totaling 29400.81 starting 2026-04-09 complete the request safely within the permitted duration. The projected minimum balance is 44294.75.
request_76,778.06,not_affordable,not_recommended,none,,none,"No safe option completes the 4455.6 request within the forecast horizon. The amount safe to pay today is 778.06, which cannot be completed safely with any available payment plan."
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Full payment of 60700 is safe on 2025-11-05 while preserving the required minimum balance. The projected minimum balance is 93650.66.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Full payment of 50200 is safe on 2025-10-02 while preserving the required minimum balance. The projected minimum balance is 61437.25.
request_79,433.37,not_affordable,not_recommended,none,2024-11-15,none,No safe option completes the 2151.6 request by the desired date. The amount safe to pay today is 433.37.
request_80,124482.46,not_affordable,not_recommended,none,,none,"No safe option completes the 217500 request within the forecast horizon. The amount safe to pay today is 124482.46, which cannot be completed safely with any available payment plan."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Full payment of 2076 is safe on 2026-07-03 while preserving the required minimum balance. The projected minimum balance is 1827.05.
request_82,506.87,affordable_later,wait,2025-01-15:1405.20,2025-01-15,none,"Wait until 2025-01-15 to make the full payment of 1405.2, preserving the required minimum balance. The projected minimum balance is 1154.19."
request_83,0,not_affordable,not_recommended,none,,none,"No safe option completes the 156200 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_84,36754.28,affordable_later,wait,2026-05-15:95400,2026-05-15,none,"Wait until 2026-05-15 to make the full payment of 95400, preserving the required minimum balance. The projected minimum balance is 128054.28."
request_85,1070403.01,not_affordable,not_recommended,none,,none,"No safe option completes the 19304000 request within the forecast horizon. The amount safe to pay today is 1070403.01, which cannot be completed safely with any available payment plan."
request_86,21279.15,not_affordable,not_recommended,none,,none,"No safe option completes the 46300 request within the forecast horizon. The amount safe to pay today is 21279.15, which cannot be completed safely with any available payment plan."
request_87,0,not_affordable,not_recommended,none,,none,"No safe option completes the 487900 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_88,12235.89,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,Installments of 3 payments totaling 27135.69 starting 2024-06-14 complete the request safely within the permitted duration. The projected minimum balance is 28990.66.
request_89,11150483.61,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-15,none,Installments of 3 payments totaling 14306240.01 starting 2025-11-18 complete the request safely within the permitted duration. The projected minimum balance is 16163073.88.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Full payment of 2560 is safe on 2026-07-06 while preserving the required minimum balance. The projected minimum balance is 26543.38.
request_91,602.42,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Wait until 2024-11-15 to make the full payment of 1927.2, preserving the required minimum balance. The projected minimum balance is 2702.42."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Full payment of 34034 is safe on 2025-02-05 while preserving the required minimum balance. The projected minimum balance is 32914.05.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Full payment of 1729.2 is safe on 2026-04-07 while preserving the required minimum balance. The projected minimum balance is 2070.9.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Full payment of 572 is safe on 2024-12-04 while preserving the required minimum balance. The projected minimum balance is 627.35.
request_95,0,not_affordable,not_recommended,none,,none,"No safe option completes the 553000 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_96,43475.36,not_affordable,not_recommended,none,,none,"No safe option completes the 90200 request within the forecast horizon. The amount safe to pay today is 43475.36, which cannot be completed safely with any available payment plan."
request_97,3148.34,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,Installments of 3 payments totaling 24435.84 starting 2024-03-19 complete the request safely within the permitted duration. The projected minimum balance is 32848.34.
request_98,10203.56,affordable_later,wait,2025-09-15:27148,2025-09-15,none,"Wait until 2025-09-15 to make the full payment of 27148, preserving the required minimum balance. The projected minimum balance is 40203.56."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Full payment of 18062 is safe on 2026-07-04 while preserving the required minimum balance. The projected minimum balance is 54609.21.
